Name,Total
L. Messi,363.0
Cristiano Ronaldo,363.0
Neymar Jr,374.0
De Gea,265.0
K. De Bruyne,324.0
E. Hazard,367.0
L. Modrić,335.0
L. Suárez,335.0
Sergio Ramos,314.0
J. Oblak,256.0
R. Lewandowski,323.0
T. Kroos,285.0
D. Godín,279.0
David Silva,316.0
N. Kanté,335.0
P. Dybala,347.0
H. Kane,302.0
A. Griezmann,353.0
M. ter Stegen,210.0
T. Courtois,243.0
Sergio Busquets,255.0
E. Cavani,319.0
M. Neuer,249.0
S. Agüero,344.0
G. Chiellini,274.0
K. Mbappé,371.0
M. Salah,367.0
Casemiro,270.0
J. Rodríguez,308.0
L. Insigne,357.0
Isco,308.0
C. Eriksen,315.0
Coutinho,339.0
P. Aubameyang,351.0
M. Hummels,267.0
Marcelo,339.0
G. Bale,356.0
H. Lloris,267.0
G. Higuaín,307.0
Thiago Silva,292.0
S. Handanovič,236.0
G. Buffon,226.0
S. Umtiti,294.0
M. Icardi,319.0
K. Koulibaly,273.0
P. Pogba,305.0
K. Navas,251.0
R. Lukaku,313.0
C. Immobile,327.0
Jordi Alba,359.0
D. Mertens,360.0
J. Vertonghen,271.0
M. Hamšík,301.0
I. Rakitić,274.0
Piqué,251.0
L. Sané,358.0
Bernardo Silva,330.0
Ederson,273.0
S. Mané,365.0
V. van Dijk,297.0
R. Sterling,367.0
Roberto Firmino,321.0
R. Varane,314.0
M. Verratti,303.0
Alex Sandro,332.0
Douglas Costa,367.0
T. Müller,314.0
Thiago,321.0
M. Reus,344.0
Azpilicueta,312.0
L. Bonucci,266.0
T. Alderweireld,273.0
M. Pjanić,293.0
M. Benatia,281.0
M. Özil,304.0
Fernandinho,293.0
Iniesta,302.0
M. Škriniar,272.0
S. Milinković-Savić,284.0
Marco Asensio,328.0
N. Fekir,328.0
Alisson,223.0
J. Kimmich,315.0
Saúl,305.0
R. Mahrez,341.0
D. Alaba,328.0
Koke,298.0
A. Lacazette,335.0
K. Manolas,318.0
N. Otamendi,261.0
Parejo,238.0
Paulinho,299.0
W. Szczęsny,235.0
A. Sánchez,338.0
Y. Brahimi,338.0
J. Boateng,277.0
A. Vidal,273.0
I. Perišić,331.0
E. Džeko,271.0
S. Khedira,256.0
Diego Costa,293.0
R. Nainggolan,314.0
Naldo,256.0
B. Matuidi,323.0
Miranda,277.0
K. Benzema,311.0
Filipe Luís,311.0
V. Kompany,255.0
Pepe,281.0
Z. Ibrahimović,274.0
D. Sánchez,291.0
J. Giménez,271.0
Alex Telles,325.0
A. Laporte,256.0
Bruno Fernandes,316.0
N. Süle,248.0
A. Martial,343.0
D. Alli,310.0
Fabinho,293.0
Marquinhos,299.0
William Carvalho,228.0
Jorginho,307.0
F. Thauvin,336.0
Carvajal,326.0
M. Depay,335.0
H. Son,341.0
A. Lopes,278.0
S. de Vrij,277.0
M. Perin,262.0
